sample-id,absolute-filepath,direction
C2P1W1,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1W1_33_L001_R1_001.fastq.gz,forward
C2P1W1,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1W1_33_L001_R2_001.fastq.gz,reverse
C2P1W2,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1W2_89_L001_R1_001.fastq.gz,forward
C2P1W2,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1W2_89_L001_R2_001.fastq.gz,reverse
C2P1W3,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1W3_29_L001_R1_001.fastq.gz,forward
C2P1W3,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1W3_29_L001_R1_001.fastq.gz,reverse
C2P1W4,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1W4_58_L001_R2_001.fastq.gz,reverse
C2P1HH1,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1HH1_18_L001_R1_001.fastq.gz,forward
C2P1HH1,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1HH1_18_L001_R2_001.fastq.gz,reverse
C2P1HH2,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1HH2_13_L001_R1_001.fastq.gz,forward
C2P1HH2,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1HH2_13_L001_R2_001.fastq.gz,reverse
C2P1HH3,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1HH3_111_L001_R1_001.fastq.gz,forward
C2P1HH3,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1HH3_111_L001_R2_001.fastq.gz,reverse
C2P1HH4,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1HH4_71_L001_R1_001.fastq.gz,forward
C2P1HH4,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1HH4_71_L001_R2_001.fastq.gz,reverse
C2P5HH1,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5HH1_15_L001_R1_001.fastq.gz,forward
C2P5HH1,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5HH1_15_L001_R2_001.fastq.gz,reverse
C2P5HH2,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5HH2_53_L001_R1_001.fastq.gz,forward
C2P5HH2,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5HH2_53_L001_R2_001.fastq.gz,reverse
C2P5HH3,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5HH3_65_L001_R1_001.fastq.gz,forward
C2P5HH3,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5HH3_65_L001_R2_001.fastq.gz,reverse
C2P5HH4,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5HH4_5_L001_R1_001.fastq.gz,forward
C2P5HH4,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5HH4_5_L001_R2_001.fastq.gz,reverse
C2P1W4,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P1W4_58_L001_R1_001.fastq.gz,forward
C2P5W1,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5W1_98_L001_R2_001.fastq.gz,reverse
C2P5W1,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5W1_98_L001_R1_001.fastq.gz,forward
C2P5W2,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5W2_43_L001_R2_001.fastq.gz,reverse
C2P5W2,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5W2_43_L001_R1_001.fastq.gz,forward
C2P5W3,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5W3_7_L001_R2_001.fastq.gz,reverse
C2P5W3,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5W3_7_L001_R1_001.fastq.gz,forward
C2P5W4,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5W4_94_L001_R2_001.fastq.gz,reverse
C2P5W4,/Users/paolagyuliane/Documents/UTFPR/Corais curso/Subsample/C2P5W4_94_L001_R1_001.fastq.gz,forward
